#    L    TT             EE             BB             TE          
   213   0.137108E-08   0.131748E-12  -0.757204E-16  -0.796740E-11
   214   0.137664E-08   0.130528E-12  -0.754491E-16  -0.786896E-11
   215   0.138214E-08   0.129313E-12  -0.749177E-16  -0.776692E-11
   216   0.138757E-08   0.128105E-12  -0.741256E-16  -0.766128E-11
   217   0.139293E-08   0.126908E-12  -0.730738E-16  -0.755205E-11
   218   0.139822E-08   0.125723E-12  -0.717641E-16  -0.743920E-11
   219   0.140344E-08   0.124554E-12  -0.701998E-16  -0.732274E-11
   220   0.140859E-08   0.123403E-12  -0.683852E-16  -0.720265E-11
   221   0.141366E-08   0.122272E-12  -0.663258E-16  -0.707896E-11
   222   0.141866E-08   0.121165E-12  -0.640284E-16  -0.695163E-11
   223   0.142358E-08   0.120082E-12  -0.615009E-16  -0.682070E-11
   224   0.142843E-08   0.119027E-12  -0.587525E-16  -0.668614E-11
   225   0.143320E-08   0.118001E-12  -0.557933E-16  -0.654798E-11
   226   0.143789E-08   0.117007E-12  -0.526348E-16  -0.640621E-11
   227   0.144250E-08   0.116048E-12  -0.492894E-16  -0.626084E-11
   228   0.144703E-08   0.115124E-12  -0.457707E-16  -0.611188E-11
   229   0.145148E-08   0.114239E-12  -0.420931E-16  -0.595933E-11
   230   0.145585E-08   0.113394E-12  -0.382723E-16  -0.580319E-11
   231   0.146013E-08   0.112590E-12  -0.343246E-16  -0.564348E-11
   232   0.146434E-08   0.111829E-12  -0.302674E-16  -0.548021E-11
   233   0.146845E-08   0.111113E-12  -0.261187E-16  -0.531338E-11
   234   0.147249E-08   0.110444E-12  -0.218974E-16  -0.514302E-11
   235   0.147644E-08   0.109822E-12  -0.176230E-16  -0.496912E-11
   236   0.148030E-08   0.109252E-12  -0.133156E-16  -0.479170E-11
   237   0.148407E-08   0.108730E-12  -0.899586E-17  -0.461078E-11
   238   0.148776E-08   0.108260E-12  -0.468480E-17  -0.442636E-11
   239   0.149136E-08   0.107841E-12  -0.403870E-18  -0.423845E-11
   240   0.149487E-08   0.107477E-12   0.382525E-17  -0.404709E-11
   241   0.149829E-08   0.107167E-12   0.798068E-17  -0.385227E-11
   242   0.150162E-08   0.106911E-12   0.120405E-16  -0.365402E-11
   243   0.150486E-08   0.106711E-12   0.159826E-16  -0.345235E-11
   244   0.150801E-08   0.106566E-12   0.197853E-16  -0.324726E-11
   245   0.151108E-08   0.106478E-12   0.234269E-16  -0.303877E-11
   246   0.151405E-08   0.106445E-12   0.268859E-16  -0.282689E-11
   247   0.151693E-08   0.106469E-12   0.301413E-16  -0.261163E-11
   248   0.151972E-08   0.106549E-12   0.331728E-16  -0.239301E-11
   249   0.152241E-08   0.106684E-12   0.359602E-16  -0.217103E-11
   250   0.152502E-08   0.106877E-12   0.384843E-16  -0.194572E-11
   251   0.152753E-08   0.107124E-12   0.407266E-16  -0.171711E-11
   252   0.152995E-08   0.107433E-12   0.426695E-16  -0.148527E-11
   253   0.153227E-08   0.107812E-12   0.442962E-16  -0.125028E-11
   254   0.153451E-08   0.108267E-12   0.455911E-16  -0.101222E-11
   255   0.153664E-08   0.108806E-12   0.465395E-16  -0.771173E-12
   256   0.153868E-08   0.109436E-12   0.471281E-16  -0.527215E-12
   257   0.154061E-08   0.110164E-12   0.473448E-16  -0.280402E-12
   258   0.154246E-08   0.110995E-12   0.471787E-16  -0.308484E-13
   259   0.154421E-08   0.111937E-12   0.466206E-16   0.221531E-12
   260   0.154586E-08   0.112997E-12   0.456626E-16   0.476461E-12
   261   0.154742E-08   0.114180E-12   0.442982E-16   0.734067E-12
   262   0.154888E-08   0.115494E-12   0.425227E-16   0.994175E-12
   263   0.155025E-08   0.116943E-12   0.403329E-16   0.125681E-11
   264   0.155152E-08   0.118535E-12   0.377274E-16   0.152179E-11
   265   0.155270E-08   0.120273E-12   0.347062E-16   0.178925E-11
   266   0.155378E-08   0.122163E-12   0.312714E-16   0.205892E-11
   267   0.155476E-08   0.124209E-12   0.274266E-16   0.233070E-11
   268   0.155565E-08   0.126417E-12   0.231772E-16   0.260474E-11
   269   0.155644E-08   0.128792E-12   0.185303E-16   0.288075E-11
   270   0.155714E-08   0.131337E-12   0.134949E-16   0.315886E-11
   271   0.155773E-08   0.134059E-12   0.808158E-17   0.343880E-11
   272   0.155823E-08   0.136961E-12   0.230282E-17   0.372068E-11
   273   0.155863E-08   0.140045E-12  -0.382733E-17   0.400433E-11
   274   0.155893E-08   0.143317E-12  -0.102931E-16   0.428988E-11
   275   0.155914E-08   0.146780E-12  -0.170772E-16   0.457705E-11
   276   0.155925E-08   0.150438E-12  -0.241606E-16   0.486597E-11
   277   0.155926E-08   0.154294E-12  -0.315229E-16   0.515645E-11
   278   0.155917E-08   0.158353E-12  -0.391421E-16   0.544842E-11
   279   0.155899E-08   0.162614E-12  -0.469949E-16   0.574201E-11
   280   0.155871E-08   0.167081E-12  -0.550568E-16   0.603703E-11
   281   0.155834E-08   0.171758E-12  -0.633019E-16   0.633352E-11
   282   0.155786E-08   0.176646E-12  -0.717032E-16   0.663139E-11
   283   0.155730E-08   0.181746E-12  -0.802329E-16   0.693058E-11
   284   0.155663E-08   0.187063E-12  -0.888619E-16   0.723099E-11
   285   0.155587E-08   0.192597E-12  -0.975606E-16   0.753267E-11
   286   0.155501E-08   0.198350E-12  -0.106299E-15   0.783562E-11
   287   0.155406E-08   0.204322E-12  -0.115045E-15   0.813977E-11
   288   0.155301E-08   0.210516E-12  -0.123768E-15   0.844495E-11
   289   0.155187E-08   0.216933E-12  -0.132436E-15   0.875139E-11
   290   0.155063E-08   0.223573E-12  -0.141018E-15   0.905879E-11
   291   0.154929E-08   0.230439E-12  -0.149480E-15   0.936729E-11
   292   0.154786E-08   0.237521E-12  -0.157792E-15   0.967681E-11
   293   0.154634E-08   0.244833E-12  -0.165922E-15   0.998737E-11
   294   0.154471E-08   0.252373E-12  -0.173838E-15   0.102988E-10
