#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   360   0.126284E-08   0.293502E-10   0.523263E-11   0.293502E-10   0.129103E-11   0.139425E-12   0.523263E-11   0.139425E-12   0.512230E-09
   361   0.125651E-08   0.295635E-10   0.515570E-11   0.295635E-10   0.131557E-11   0.139811E-12   0.515570E-11   0.139811E-12   0.509774E-09
   362   0.125014E-08   0.297733E-10   0.507993E-11   0.297733E-10   0.134035E-11   0.140168E-12   0.507993E-11   0.140168E-12   0.507321E-09
   363   0.124373E-08   0.299794E-10   0.500528E-11   0.299794E-10   0.136534E-11   0.140494E-12   0.500528E-11   0.140494E-12   0.504871E-09
   364   0.123727E-08   0.301819E-10   0.493174E-11   0.301819E-10   0.139056E-11   0.140791E-12   0.493174E-11   0.140791E-12   0.502424E-09
   365   0.123078E-08   0.303807E-10   0.485929E-11   0.303807E-10   0.141599E-11   0.141058E-12   0.485929E-11   0.141058E-12   0.499979E-09
   366   0.122425E-08   0.305758E-10   0.478790E-11   0.305758E-10   0.144163E-11   0.141295E-12   0.478790E-11   0.141295E-12   0.497537E-09
   367   0.121769E-08   0.307671E-10   0.471755E-11   0.307671E-10   0.146749E-11   0.141502E-12   0.471755E-11   0.141502E-12   0.495097E-09
   368   0.121109E-08   0.309546E-10   0.464822E-11   0.309546E-10   0.149355E-11   0.141680E-12   0.464822E-11   0.141680E-12   0.492660E-09
   369   0.120445E-08   0.311382E-10   0.457989E-11   0.311382E-10   0.151983E-11   0.141828E-12   0.457989E-11   0.141828E-12   0.490225E-09
   370   0.119778E-08   0.313178E-10   0.451254E-11   0.313178E-10   0.154630E-11   0.141946E-12   0.451254E-11   0.141946E-12   0.487792E-09
   371   0.119107E-08   0.314935E-10   0.444614E-11   0.314935E-10   0.157298E-11   0.142034E-12   0.444614E-11   0.142034E-12   0.485362E-09
   372   0.118434E-08   0.316651E-10   0.438067E-11   0.316651E-10   0.159985E-11   0.142093E-12   0.438067E-11   0.142093E-12   0.482933E-09
   373   0.117757E-08   0.318327E-10   0.431611E-11   0.318327E-10   0.162692E-11   0.142121E-12   0.431611E-11   0.142121E-12   0.480507E-09
   374   0.117077E-08   0.319962E-10   0.425244E-11   0.319962E-10   0.165420E-11   0.142120E-12   0.425244E-11   0.142120E-12   0.478082E-09
   375   0.116394E-08   0.321555E-10   0.418963E-11   0.321555E-10   0.168167E-11   0.142090E-12   0.418963E-11   0.142090E-12   0.475660E-09
   376   0.115708E-08   0.323106E-10   0.412767E-11   0.323106E-10   0.170932E-11   0.142029E-12   0.412767E-11   0.142029E-12   0.473239E-09
   377   0.115019E-08   0.324615E-10   0.406653E-11   0.324615E-10   0.173717E-11   0.141939E-12   0.406653E-11   0.141939E-12   0.470820E-09
   378   0.114327E-08   0.326080E-10   0.400619E-11   0.326080E-10   0.176519E-11   0.141819E-12   0.400619E-11   0.141819E-12   0.468402E-09
   379   0.113632E-08   0.327502E-10   0.394663E-11   0.327502E-10   0.179340E-11   0.141669E-12   0.394663E-11   0.141669E-12   0.465986E-09
   380   0.112935E-08   0.328879E-10   0.388782E-11   0.328879E-10   0.182179E-11   0.141490E-12   0.388782E-11   0.141490E-12   0.463571E-09
   381   0.112235E-08   0.330212E-10   0.382975E-11   0.330212E-10   0.185036E-11   0.141281E-12   0.382975E-11   0.141281E-12   0.461158E-09
   382   0.111532E-08   0.331500E-10   0.377239E-11   0.331500E-10   0.187910E-11   0.141042E-12   0.377239E-11   0.141042E-12   0.458746E-09
   383   0.110827E-08   0.332742E-10   0.371572E-11   0.332742E-10   0.190802E-11   0.140773E-12   0.371572E-11   0.140773E-12   0.456336E-09
   384   0.110120E-08   0.333939E-10   0.365972E-11   0.333939E-10   0.193712E-11   0.140475E-12   0.365972E-11   0.140475E-12   0.453926E-09
   385   0.109410E-08   0.335089E-10   0.360437E-11   0.335089E-10   0.196640E-11   0.140147E-12   0.360437E-11   0.140147E-12   0.451518E-09
   386   0.108697E-08   0.336193E-10   0.354964E-11   0.336193E-10   0.199588E-11   0.139790E-12   0.354964E-11   0.139790E-12   0.449110E-09
   387   0.107983E-08   0.337250E-10   0.349552E-11   0.337250E-10   0.202553E-11   0.139402E-12   0.349552E-11   0.139402E-12   0.446703E-09
   388   0.107266E-08   0.338260E-10   0.344197E-11   0.338260E-10   0.205539E-11   0.138986E-12   0.344197E-11   0.138986E-12   0.444298E-09
   389   0.106546E-08   0.339221E-10   0.338898E-11   0.339221E-10   0.208545E-11   0.138539E-12   0.338898E-11   0.138539E-12   0.441893E-09
   390   0.105825E-08   0.340135E-10   0.333654E-11   0.340135E-10   0.211570E-11   0.138063E-12   0.333654E-11   0.138063E-12   0.439488E-09
   391   0.105101E-08   0.341001E-10   0.328460E-11   0.341001E-10   0.214615E-11   0.137557E-12   0.328460E-11   0.137557E-12   0.437084E-09
   392   0.104375E-08   0.341817E-10   0.323316E-11   0.341817E-10   0.217680E-11   0.137022E-12   0.323316E-11   0.137022E-12   0.434681E-09
   393   0.103647E-08   0.342584E-10   0.318219E-11   0.342584E-10   0.220765E-11   0.136457E-12   0.318219E-11   0.136457E-12   0.432278E-09
   394   0.102917E-08   0.343302E-10   0.313167E-11   0.343302E-10   0.223871E-11   0.135862E-12   0.313167E-11   0.135862E-12   0.429876E-09
   395   0.102184E-08   0.343969E-10   0.308157E-11   0.343969E-10   0.226996E-11   0.135238E-12   0.308157E-11   0.135238E-12   0.427474E-09
   396   0.101450E-08   0.344585E-10   0.303188E-11   0.344585E-10   0.230143E-11   0.134584E-12   0.303188E-11   0.134584E-12   0.425071E-09
   397   0.100713E-08   0.345150E-10   0.298258E-11   0.345150E-10   0.233311E-11   0.133900E-12   0.298258E-11   0.133900E-12   0.422669E-09
   398   0.999745E-09   0.345664E-10   0.293363E-11   0.345664E-10   0.236500E-11   0.133187E-12   0.293363E-11   0.133187E-12   0.420268E-09
   399   0.992339E-09   0.346126E-10   0.288502E-11   0.346126E-10   0.239710E-11   0.132445E-12   0.288502E-11   0.132445E-12   0.417866E-09
   400   0.984913E-09   0.346535E-10   0.283674E-11   0.346535E-10   0.242943E-11   0.131673E-12   0.283674E-11   0.131673E-12   0.415463E-09
   401   0.977468E-09   0.346891E-10   0.278875E-11   0.346891E-10   0.246198E-11   0.130871E-12   0.278875E-11   0.130871E-12   0.413061E-09
   402   0.970006E-09   0.347194E-10   0.274106E-11   0.347194E-10   0.249473E-11   0.130040E-12   0.274106E-11   0.130040E-12   0.410659E-09
   403   0.962529E-09   0.347445E-10   0.269369E-11   0.347445E-10   0.252767E-11   0.129181E-12   0.269369E-11   0.129181E-12   0.408257E-09
   404   0.955040E-09   0.347643E-10   0.264663E-11   0.347643E-10   0.256078E-11   0.128294E-12   0.264663E-11   0.128294E-12   0.405856E-09
   405   0.947539E-09   0.347789E-10   0.259990E-11   0.347789E-10   0.259404E-11   0.127380E-12   0.259990E-11   0.127380E-12   0.403455E-09
   406   0.940029E-09   0.347882E-10   0.255351E-11   0.347882E-10   0.262743E-11   0.126439E-12   0.255351E-11   0.126439E-12   0.401056E-09
   407   0.932513E-09   0.347924E-10   0.250745E-11   0.347924E-10   0.266093E-11   0.125472E-12   0.250745E-11   0.125472E-12   0.398657E-09
   408   0.924993E-09   0.347913E-10   0.246175E-11   0.347913E-10   0.269451E-11   0.124479E-12   0.246175E-11   0.124479E-12   0.396261E-09
   409   0.917468E-09   0.347851E-10   0.241640E-11   0.347851E-10   0.272818E-11   0.123461E-12   0.241640E-11   0.123461E-12   0.393866E-09
   410   0.909944E-09   0.347737E-10   0.237141E-11   0.347737E-10   0.276191E-11   0.122419E-12   0.237141E-11   0.122419E-12   0.391473E-09
   411   0.902420E-09   0.347571E-10   0.232680E-11   0.347571E-10   0.279566E-11   0.121353E-12   0.232680E-11   0.121353E-12   0.389082E-09
   412   0.894899E-09   0.347354E-10   0.228257E-11   0.347354E-10   0.282945E-11   0.120263E-12   0.228257E-11   0.120263E-12   0.386694E-09
   413   0.887384E-09   0.347085E-10   0.223872E-11   0.347085E-10   0.286323E-11   0.119151E-12   0.223872E-11   0.119151E-12   0.384309E-09
   414   0.879876E-09   0.346764E-10   0.219527E-11   0.346764E-10   0.289701E-11   0.118017E-12   0.219527E-11   0.118017E-12   0.381927E-09
   415   0.872376E-09   0.346391E-10   0.215222E-11   0.346391E-10   0.293077E-11   0.116860E-12   0.215222E-11   0.116860E-12   0.379548E-09
   416   0.864888E-09   0.345966E-10   0.210958E-11   0.345966E-10   0.296447E-11   0.115683E-12   0.210958E-11   0.115683E-12   0.377172E-09
   417   0.857413E-09   0.345490E-10   0.206736E-11   0.345490E-10   0.299813E-11   0.114486E-12   0.206736E-11   0.114486E-12   0.374801E-09
   418   0.849953E-09   0.344962E-10   0.202556E-11   0.344962E-10   0.303170E-11   0.113268E-12   0.202556E-11   0.113268E-12   0.372433E-09
   419   0.842510E-09   0.344382E-10   0.198420E-11   0.344382E-10   0.306519E-11   0.112032E-12   0.198420E-11   0.112032E-12   0.370070E-09
   420   0.835087E-09   0.343750E-10   0.194328E-11   0.343750E-10   0.309856E-11   0.110776E-12   0.194328E-11   0.110776E-12   0.367711E-09
   421   0.827685E-09   0.343067E-10   0.190280E-11   0.343067E-10   0.313181E-11   0.109502E-12   0.190280E-11   0.109502E-12   0.365357E-09
   422   0.820305E-09   0.342331E-10   0.186278E-11   0.342331E-10   0.316491E-11   0.108211E-12   0.186278E-11   0.108211E-12   0.363008E-09
   423   0.812951E-09   0.341544E-10   0.182323E-11   0.341544E-10   0.319785E-11   0.106902E-12   0.182323E-11   0.106902E-12   0.360665E-09
   424   0.805624E-09   0.340705E-10   0.178415E-11   0.340705E-10   0.323061E-11   0.105577E-12   0.178415E-11   0.105577E-12   0.358327E-09
   425   0.798325E-09   0.339814E-10   0.174554E-11   0.339814E-10   0.326318E-11   0.104236E-12   0.174554E-11   0.104236E-12   0.355995E-09
   426   0.791057E-09   0.338870E-10   0.170742E-11   0.338870E-10   0.329555E-11   0.102880E-12   0.170742E-11   0.102880E-12   0.353668E-09
   427   0.783819E-09   0.337874E-10   0.166980E-11   0.337874E-10   0.332771E-11   0.101508E-12   0.166980E-11   0.101508E-12   0.351348E-09
   428   0.776617E-09   0.336825E-10   0.163267E-11   0.336825E-10   0.335966E-11   0.100123E-12   0.163267E-11   0.100123E-12   0.349035E-09
   429   0.769449E-09   0.335722E-10   0.159606E-11   0.335722E-10   0.339137E-11   0.987239E-13   0.159606E-11   0.987239E-13   0.346728E-09
   430   0.762317E-09   0.334566E-10   0.155997E-11   0.334566E-10   0.342283E-11   0.973117E-13   0.155997E-11   0.973117E-13   0.344429E-09
   431   0.755225E-09   0.333356E-10   0.152439E-11   0.333356E-10   0.345406E-11   0.958869E-13   0.152439E-11   0.958869E-13   0.342137E-09
   432   0.748172E-09   0.332091E-10   0.148935E-11   0.332091E-10   0.348501E-11   0.944502E-13   0.148935E-11   0.944502E-13   0.339852E-09
   433   0.741163E-09   0.330772E-10   0.145485E-11   0.330772E-10   0.351568E-11   0.930021E-13   0.145485E-11   0.930021E-13   0.337575E-09
   434   0.734196E-09   0.329399E-10   0.142090E-11   0.329399E-10   0.354607E-11   0.915432E-13   0.142090E-11   0.915432E-13   0.335306E-09
   435   0.727277E-09   0.327970E-10   0.138751E-11   0.327970E-10   0.357615E-11   0.900740E-13   0.138751E-11   0.900740E-13   0.333045E-09
   436   0.720406E-09   0.326486E-10   0.135467E-11   0.326486E-10   0.360591E-11   0.885951E-13   0.135467E-11   0.885951E-13   0.330793E-09
   437   0.713585E-09   0.324947E-10   0.132241E-11   0.324947E-10   0.363533E-11   0.871071E-13   0.132241E-11   0.871071E-13   0.328550E-09
   438   0.706815E-09   0.323351E-10   0.129072E-11   0.323351E-10   0.366441E-11   0.856105E-13   0.129072E-11   0.856105E-13   0.326316E-09
   439   0.700100E-09   0.321699E-10   0.125962E-11   0.321699E-10   0.369314E-11   0.841059E-13   0.125962E-11   0.841059E-13   0.324091E-09
   440   0.693440E-09   0.319991E-10   0.122912E-11   0.319991E-10   0.372150E-11   0.825939E-13   0.122912E-11   0.825939E-13   0.321875E-09
   441   0.686837E-09   0.318225E-10   0.119921E-11   0.318225E-10   0.374948E-11   0.810750E-13   0.119921E-11   0.810750E-13   0.319670E-09
   442   0.680291E-09   0.316402E-10   0.116992E-11   0.316402E-10   0.377707E-11   0.795498E-13   0.116992E-11   0.795498E-13   0.317474E-09
   443   0.673804E-09   0.314520E-10   0.114124E-11   0.314520E-10   0.380427E-11   0.780189E-13   0.114124E-11   0.780189E-13   0.315289E-09
   444   0.667378E-09   0.312580E-10   0.111318E-11   0.312580E-10   0.383106E-11   0.764829E-13   0.111318E-11   0.764829E-13   0.313114E-09
   445   0.661015E-09   0.310581E-10   0.108576E-11   0.310581E-10   0.385743E-11   0.749422E-13   0.108576E-11   0.749422E-13   0.310950E-09
   446   0.654715E-09   0.308523E-10   0.105897E-11   0.308523E-10   0.388338E-11   0.733976E-13   0.105897E-11   0.733976E-13   0.308797E-09
   447   0.648481E-09   0.306403E-10   0.103283E-11   0.306403E-10   0.390889E-11   0.718495E-13   0.103283E-11   0.718495E-13   0.306655E-09
   448   0.642315E-09   0.304223E-10   0.100735E-11   0.304223E-10   0.393396E-11   0.702985E-13   0.100735E-11   0.702985E-13   0.304525E-09
   449   0.636220E-09   0.301981E-10   0.982527E-12   0.301981E-10   0.395858E-11   0.687452E-13   0.982527E-12   0.687452E-13   0.302407E-09
   450   0.630196E-09   0.299677E-10   0.958376E-12   0.299677E-10   0.398273E-11   0.671901E-13   0.958376E-12   0.671901E-13   0.300300E-09
   451   0.624245E-09   0.297310E-10   0.934898E-12   0.297310E-10   0.400642E-11   0.656338E-13   0.934898E-12   0.656338E-13   0.298206E-09
   452   0.618367E-09   0.294882E-10   0.912084E-12   0.294882E-10   0.402965E-11   0.640763E-13   0.912084E-12   0.640763E-13   0.296124E-09
   453   0.612558E-09   0.292395E-10   0.889920E-12   0.292395E-10   0.405245E-11   0.625177E-13   0.889920E-12   0.625177E-13   0.294054E-09
   454   0.606817E-09   0.289853E-10   0.868393E-12   0.289853E-10   0.407484E-11   0.609580E-13   0.868393E-12   0.609580E-13   0.291995E-09
   455   0.601140E-09   0.287258E-10   0.847489E-12   0.287258E-10   0.409682E-11   0.593972E-13   0.847489E-12   0.593972E-13   0.289948E-09
   456   0.595526E-09   0.284612E-10   0.827195E-12   0.284612E-10   0.411842E-11   0.578353E-13   0.827195E-12   0.578353E-13   0.287912E-09
   457   0.589972E-09   0.281917E-10   0.807498E-12   0.281917E-10   0.413966E-11   0.562724E-13   0.807498E-12   0.562724E-13   0.285886E-09
   458   0.584475E-09   0.279176E-10   0.788382E-12   0.279176E-10   0.416055E-11   0.547084E-13   0.788382E-12   0.547084E-13   0.283871E-09
   459   0.579033E-09   0.276392E-10   0.769836E-12   0.276392E-10   0.418111E-11   0.531435E-13   0.769836E-12   0.531435E-13   0.281866E-09
   460   0.573645E-09   0.273566E-10   0.751846E-12   0.273566E-10   0.420136E-11   0.515776E-13   0.751846E-12   0.515776E-13   0.279872E-09
   461   0.568307E-09   0.270701E-10   0.734397E-12   0.270701E-10   0.422132E-11   0.500108E-13   0.734397E-12   0.500108E-13   0.277887E-09
   462   0.563021E-09   0.267798E-10   0.717477E-12   0.267798E-10   0.424102E-11   0.484430E-13   0.717477E-12   0.484430E-13   0.275912E-09
   463   0.557781E-09   0.264859E-10   0.701071E-12   0.264859E-10   0.426048E-11   0.468744E-13   0.701071E-12   0.468744E-13   0.273946E-09
   464   0.552590E-09   0.261886E-10   0.685167E-12   0.261886E-10   0.427971E-11   0.453048E-13   0.685167E-12   0.453048E-13   0.271989E-09
   465   0.547442E-09   0.258882E-10   0.669751E-12   0.258882E-10   0.429873E-11   0.437344E-13   0.669751E-12   0.437344E-13   0.270041E-09
   466   0.542339E-09   0.255848E-10   0.654809E-12   0.255848E-10   0.431758E-11   0.421632E-13   0.654809E-12   0.421632E-13   0.268102E-09
   467   0.537276E-09   0.252786E-10   0.640327E-12   0.252786E-10   0.433626E-11   0.405912E-13   0.640327E-12   0.405912E-13   0.266171E-09
   468   0.532252E-09   0.249699E-10   0.626293E-12   0.249699E-10   0.435480E-11   0.390184E-13   0.626293E-12   0.390184E-13   0.264248E-09
   469   0.527264E-09   0.246587E-10   0.612692E-12   0.246587E-10   0.437321E-11   0.374449E-13   0.612692E-12   0.374449E-13   0.262333E-09
   470   0.522310E-09   0.243454E-10   0.599511E-12   0.243454E-10   0.439151E-11   0.358706E-13   0.599511E-12   0.358706E-13   0.260426E-09
   471   0.517387E-09   0.240303E-10   0.586737E-12   0.240303E-10   0.440972E-11   0.342956E-13   0.586737E-12   0.342956E-13   0.258526E-09
   472   0.512493E-09   0.237134E-10   0.574355E-12   0.237134E-10   0.442788E-11   0.327199E-13   0.574355E-12   0.327199E-13   0.256633E-09
   473   0.507626E-09   0.233951E-10   0.562353E-12   0.233951E-10   0.444598E-11   0.311436E-13   0.562353E-12   0.311436E-13   0.254747E-09
   474   0.502784E-09   0.230753E-10   0.550717E-12   0.230753E-10   0.446404E-11   0.295666E-13   0.550717E-12   0.295666E-13   0.252868E-09
   475   0.497965E-09   0.227545E-10   0.539433E-12   0.227545E-10   0.448210E-11   0.279890E-13   0.539433E-12   0.279890E-13   0.250995E-09
   476   0.493168E-09   0.224327E-10   0.528488E-12   0.224327E-10   0.450017E-11   0.264108E-13   0.528488E-12   0.264108E-13   0.249128E-09
   477   0.488390E-09   0.221101E-10   0.517868E-12   0.221101E-10   0.451826E-11   0.248321E-13   0.517868E-12   0.248321E-13   0.247267E-09
   478   0.483630E-09   0.217870E-10   0.507559E-12   0.217870E-10   0.453640E-11   0.232528E-13   0.507559E-12   0.232528E-13   0.245412E-09
   479   0.478889E-09   0.214633E-10   0.497549E-12   0.214633E-10   0.455462E-11   0.216730E-13   0.497549E-12   0.216730E-13   0.243562E-09
   480   0.474161E-09   0.211395E-10   0.487823E-12   0.211395E-10   0.457293E-11   0.200927E-13   0.487823E-12   0.200927E-13   0.241717E-09
   481   0.469447E-09   0.208155E-10   0.478368E-12   0.208155E-10   0.459134E-11   0.185119E-13   0.478368E-12   0.185119E-13   0.239878E-09
   482   0.464743E-09   0.204917E-10   0.469171E-12   0.204917E-10   0.460989E-11   0.169307E-13   0.469171E-12   0.169307E-13   0.238042E-09
   483   0.460047E-09   0.201681E-10   0.460217E-12   0.201681E-10   0.462857E-11   0.153490E-13   0.460217E-12   0.153490E-13   0.236212E-09
   484   0.455358E-09   0.198450E-10   0.451494E-12   0.198450E-10   0.464743E-11   0.137669E-13   0.451494E-12   0.137669E-13   0.234385E-09
   485   0.450672E-09   0.195225E-10   0.442987E-12   0.195225E-10   0.466648E-11   0.121845E-13   0.442987E-12   0.121845E-13   0.232563E-09
   486   0.445989E-09   0.192008E-10   0.434684E-12   0.192008E-10   0.468573E-11   0.106017E-13   0.434684E-12   0.106017E-13   0.230744E-09
   487   0.441305E-09   0.188800E-10   0.426571E-12   0.188800E-10   0.470519E-11   0.901859E-14   0.426571E-12   0.901859E-14   0.228928E-09
   488   0.436619E-09   0.185604E-10   0.418633E-12   0.185604E-10   0.472491E-11   0.743517E-14   0.418633E-12   0.743517E-14   0.227116E-09
   489   0.431930E-09   0.182420E-10   0.410858E-12   0.182420E-10   0.474488E-11   0.585146E-14   0.410858E-12   0.585146E-14   0.225307E-09
   490   0.427236E-09   0.179250E-10   0.403233E-12   0.179250E-10   0.476513E-11   0.426749E-14   0.403233E-12   0.426749E-14   0.223500E-09
   491   0.422535E-09   0.176097E-10   0.395742E-12   0.176097E-10   0.478569E-11   0.268328E-14   0.395742E-12   0.268328E-14   0.221696E-09
   492   0.417826E-09   0.172960E-10   0.388374E-12   0.172960E-10   0.480655E-11   0.109886E-14   0.388374E-12   0.109886E-14   0.219894E-09
   493   0.413108E-09   0.169843E-10   0.381114E-12   0.169843E-10   0.482775E-11  -0.485750E-15   0.381114E-12  -0.485750E-15   0.218094E-09
   494   0.408378E-09   0.166746E-10   0.373949E-12   0.166746E-10   0.484930E-11  -0.207052E-14   0.373949E-12  -0.207052E-14   0.216296E-09
   495   0.403636E-09   0.163670E-10   0.366865E-12   0.163670E-10   0.487123E-11  -0.365544E-14   0.366865E-12  -0.365544E-14   0.214499E-09
   496   0.398879E-09   0.160618E-10   0.359849E-12   0.160618E-10   0.489354E-11  -0.524047E-14   0.359849E-12  -0.524047E-14   0.212704E-09
   497   0.394104E-09   0.157591E-10   0.352887E-12   0.157591E-10   0.491626E-11  -0.682560E-14   0.352887E-12  -0.682560E-14   0.210909E-09
   498   0.389311E-09   0.154590E-10   0.345966E-12   0.154590E-10   0.493939E-11  -0.841080E-14   0.345966E-12  -0.841080E-14   0.209115E-09
   499   0.384498E-09   0.151617E-10   0.339072E-12   0.151617E-10   0.496297E-11  -0.999605E-14   0.339072E-12  -0.999605E-14   0.207322E-09
   500   0.379661E-09   0.148674E-10   0.332191E-12   0.148674E-10   0.498701E-11  -0.115813E-13   0.332191E-12  -0.115813E-13   0.205529E-09
