#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57   0.285715E-09  -0.295290E-12   0.186241E-09  -0.295290E-12   0.131867E-13   0.718913E-13   0.186241E-09   0.718913E-13   0.429217E-07
    58   0.291238E-09  -0.329290E-12   0.181445E-09  -0.329290E-12   0.139452E-13   0.564308E-13   0.181445E-09   0.564308E-13   0.422292E-07
    59   0.296790E-09  -0.364951E-12   0.176883E-09  -0.364951E-12   0.147301E-13   0.590729E-13   0.176883E-09   0.590729E-13   0.415432E-07
    60   0.302363E-09  -0.402189E-12   0.172530E-09  -0.402189E-12   0.155405E-13   0.756664E-13   0.172530E-09   0.756664E-13   0.408642E-07
    61   0.307953E-09  -0.440930E-12   0.168363E-09  -0.440930E-12   0.163759E-13   0.101981E-12   0.168363E-09   0.101981E-12   0.401924E-07
    62   0.313569E-09  -0.481190E-12   0.164362E-09  -0.481190E-12   0.172363E-13   0.133466E-12   0.164362E-09   0.133466E-12   0.395280E-07
    63   0.319219E-09  -0.523007E-12   0.160511E-09  -0.523007E-12   0.181221E-13   0.165493E-12   0.160511E-09   0.165493E-12   0.388708E-07
    64   0.324915E-09  -0.566420E-12   0.156791E-09  -0.566420E-12   0.190336E-13   0.193432E-12   0.156791E-09   0.193432E-12   0.382207E-07
    65   0.330667E-09  -0.611475E-12   0.153185E-09  -0.611475E-12   0.199712E-13   0.212654E-12   0.153185E-09   0.212654E-12   0.375776E-07
    66   0.336487E-09  -0.658223E-12   0.149680E-09  -0.658223E-12   0.209350E-13   0.219909E-12   0.149680E-09   0.219909E-12   0.369414E-07
    67   0.342371E-09  -0.706613E-12   0.146277E-09  -0.706613E-12   0.219252E-13   0.217469E-12   0.146277E-09   0.217469E-12   0.363123E-07
    68   0.348308E-09  -0.756569E-12   0.142985E-09  -0.756569E-12   0.229419E-13   0.208985E-12   0.142985E-09   0.208985E-12   0.356906E-07
    69   0.354289E-09  -0.808022E-12   0.139810E-09  -0.808022E-12   0.239855E-13   0.198109E-12   0.139810E-09   0.198109E-12   0.350765E-07
    70   0.360304E-09  -0.860925E-12   0.136760E-09  -0.860925E-12   0.250566E-13   0.188491E-12   0.136760E-09   0.188491E-12   0.344701E-07
    71   0.366347E-09  -0.915263E-12   0.133836E-09  -0.915263E-12   0.261559E-13   0.182963E-12   0.133836E-09   0.182963E-12   0.338716E-07
    72   0.372425E-09  -0.971122E-12   0.131030E-09  -0.971122E-12   0.272836E-13   0.181076E-12   0.131030E-09   0.181076E-12   0.332812E-07
    73   0.378546E-09  -0.102858E-11   0.128327E-09  -0.102858E-11   0.284397E-13   0.181559E-12   0.128327E-09   0.181559E-12   0.326986E-07
    74   0.384702E-09  -0.108758E-11   0.125712E-09  -0.108758E-11   0.296234E-13   0.183142E-12   0.125712E-09   0.183142E-12   0.321240E-07
    75   0.390886E-09  -0.114800E-11   0.123172E-09  -0.114800E-11   0.308337E-13   0.184556E-12   0.123172E-09   0.184556E-12   0.315573E-07
    76   0.397087E-09  -0.120975E-11   0.120694E-09  -0.120975E-11   0.320694E-13   0.184458E-12   0.120694E-09   0.184458E-12   0.309984E-07
    77   0.403294E-09  -0.127269E-11   0.118271E-09  -0.127269E-11   0.333299E-13   0.181210E-12   0.118271E-09   0.181210E-12   0.304474E-07
    78   0.409517E-09  -0.133685E-11   0.115898E-09  -0.133685E-11   0.346144E-13   0.173101E-12   0.115898E-09   0.173101E-12   0.299040E-07
    79   0.415769E-09  -0.140228E-11   0.113568E-09  -0.140228E-11   0.359220E-13   0.158421E-12   0.113568E-09   0.158421E-12   0.293683E-07
    80   0.422064E-09  -0.146907E-11   0.111277E-09  -0.146907E-11   0.372521E-13   0.135459E-12   0.111277E-09   0.135459E-12   0.288401E-07
    81   0.428413E-09  -0.153725E-11   0.109022E-09  -0.153725E-11   0.386041E-13   0.103278E-12   0.109022E-09   0.103278E-12   0.283194E-07
    82   0.434819E-09  -0.160684E-11   0.106814E-09  -0.160684E-11   0.399782E-13   0.640410E-13   0.106814E-09   0.640410E-13   0.278063E-07
    83   0.441278E-09  -0.167785E-11   0.104670E-09  -0.167785E-11   0.413746E-13   0.206814E-13   0.104670E-09   0.206814E-13   0.273007E-07
    84   0.447790E-09  -0.175027E-11   0.102603E-09  -0.175027E-11   0.427935E-13  -0.238651E-13   0.102603E-09  -0.238651E-13   0.268027E-07
