#    L    TT             EE             TE             PP             TP          
   129   0.769097E-09   0.118385E-12  -0.591669E-11   0.689400E-07   0.354060E-09
   130   0.776733E-09   0.119992E-12  -0.601531E-11   0.675589E-07   0.350596E-09
   131   0.784380E-09   0.121582E-12  -0.611351E-11   0.662035E-07   0.347256E-09
   132   0.792041E-09   0.123154E-12  -0.621121E-11   0.648733E-07   0.344037E-09
   133   0.799714E-09   0.124705E-12  -0.630837E-11   0.635681E-07   0.340933E-09
   134   0.807398E-09   0.126237E-12  -0.640492E-11   0.622874E-07   0.337938E-09
   135   0.815092E-09   0.127745E-12  -0.650083E-11   0.610309E-07   0.335046E-09
   136   0.822797E-09   0.129229E-12  -0.659600E-11   0.597982E-07   0.332251E-09
   137   0.830511E-09   0.130687E-12  -0.669040E-11   0.585890E-07   0.329547E-09
   138   0.838233E-09   0.132119E-12  -0.678398E-11   0.574029E-07   0.326929E-09
   139   0.845964E-09   0.133522E-12  -0.687668E-11   0.562395E-07   0.324389E-09
   140   0.853703E-09   0.134897E-12  -0.696846E-11   0.550985E-07   0.321922E-09
   141   0.861448E-09   0.136243E-12  -0.705927E-11   0.539795E-07   0.319523E-09
   142   0.869199E-09   0.137557E-12  -0.714905E-11   0.528822E-07   0.317185E-09
   143   0.876957E-09   0.138841E-12  -0.723776E-11   0.518061E-07   0.314902E-09
   144   0.884718E-09   0.140092E-12  -0.732536E-11   0.507510E-07   0.312668E-09
   145   0.892485E-09   0.141310E-12  -0.741179E-11   0.497164E-07   0.310478E-09
   146   0.900252E-09   0.142495E-12  -0.749702E-11   0.487020E-07   0.308326E-09
   147   0.908019E-09   0.143647E-12  -0.758097E-11   0.477075E-07   0.306204E-09
   148   0.915786E-09   0.144765E-12  -0.766362E-11   0.467324E-07   0.304109E-09
   149   0.923550E-09   0.145849E-12  -0.774492E-11   0.457764E-07   0.302033E-09
   150   0.931311E-09   0.146899E-12  -0.782481E-11   0.448392E-07   0.299970E-09
   151   0.939065E-09   0.147914E-12  -0.790325E-11   0.439203E-07   0.297916E-09
   152   0.946813E-09   0.148894E-12  -0.798019E-11   0.430196E-07   0.295870E-09
   153   0.954555E-09   0.149837E-12  -0.805555E-11   0.421368E-07   0.293832E-09
   154   0.962290E-09   0.150743E-12  -0.812930E-11   0.412715E-07   0.291802E-09
   155   0.970017E-09   0.151610E-12  -0.820134E-11   0.404235E-07   0.289780E-09
   156   0.977737E-09   0.152437E-12  -0.827164E-11   0.395927E-07   0.287767E-09
   157   0.985447E-09   0.153222E-12  -0.834013E-11   0.387786E-07   0.285762E-09
   158   0.993149E-09   0.153966E-12  -0.840675E-11   0.379811E-07   0.283767E-09
   159   0.100084E-08   0.154667E-12  -0.847144E-11   0.371999E-07   0.281781E-09
   160   0.100852E-08   0.155326E-12  -0.853415E-11   0.364346E-07   0.279803E-09
   161   0.101619E-08   0.155941E-12  -0.859483E-11   0.356852E-07   0.277836E-09
   162   0.102384E-08   0.156511E-12  -0.865343E-11   0.349513E-07   0.275877E-09
   163   0.103147E-08   0.157040E-12  -0.870987E-11   0.342326E-07   0.273929E-09
   164   0.103909E-08   0.157522E-12  -0.876414E-11   0.335288E-07   0.271991E-09
   165   0.104669E-08   0.157960E-12  -0.881615E-11   0.328398E-07   0.270062E-09
   166   0.105427E-08   0.158353E-12  -0.886588E-11   0.321652E-07   0.268144E-09
   167   0.106182E-08   0.158702E-12  -0.891327E-11   0.315049E-07   0.266237E-09
   168   0.106936E-08   0.159008E-12  -0.895831E-11   0.308584E-07   0.264340E-09
   169   0.107687E-08   0.159269E-12  -0.900096E-11   0.302257E-07   0.262454E-09
   170   0.108435E-08   0.159487E-12  -0.904117E-11   0.296063E-07   0.260580E-09
   171   0.109182E-08   0.159662E-12  -0.907891E-11   0.290001E-07   0.258716E-09
   172   0.109925E-08   0.159794E-12  -0.911415E-11   0.284068E-07   0.256864E-09
   173   0.110666E-08   0.159885E-12  -0.914685E-11   0.278261E-07   0.255023E-09
   174   0.111404E-08   0.159934E-12  -0.917699E-11   0.272577E-07   0.253195E-09
   175   0.112139E-08   0.159944E-12  -0.920456E-11   0.267015E-07   0.251378E-09
   176   0.112871E-08   0.159914E-12  -0.922952E-11   0.261571E-07   0.249573E-09
   177   0.113601E-08   0.159844E-12  -0.925181E-11   0.256243E-07   0.247780E-09
   178   0.114326E-08   0.159734E-12  -0.927139E-11   0.251030E-07   0.245999E-09
   179   0.115049E-08   0.159583E-12  -0.928819E-11   0.245929E-07   0.244230E-09
   180   0.115768E-08   0.159391E-12  -0.930217E-11   0.240939E-07   0.242472E-09
