a  H_over_H0
1.322839e-01 5.484182e+00
1.325340e-01 5.471527e+00
1.327841e-01 5.458932e+00
1.330341e-01 5.446397e+00
1.332842e-01 5.433921e+00
1.335342e-01 5.421505e+00
1.337843e-01 5.409147e+00
1.340344e-01 5.396848e+00
1.342844e-01 5.384607e+00
1.345345e-01 5.372423e+00
1.347846e-01 5.360296e+00
1.350346e-01 5.348227e+00
1.352847e-01 5.336213e+00
1.355347e-01 5.324256e+00
1.357848e-01 5.312355e+00
1.360349e-01 5.300508e+00
1.362849e-01 5.288717e+00
1.365350e-01 5.276981e+00
1.367851e-01 5.265298e+00
1.370351e-01 5.253670e+00
1.372852e-01 5.242095e+00
1.375352e-01 5.230574e+00
1.377853e-01 5.219105e+00
1.380354e-01 5.207689e+00
1.382854e-01 5.196325e+00
1.385355e-01 5.185012e+00
1.387856e-01 5.173752e+00
1.390356e-01 5.162542e+00
1.392857e-01 5.151384e+00
1.395357e-01 5.140276e+00
1.397858e-01 5.129218e+00
1.400359e-01 5.118210e+00
1.402859e-01 5.107252e+00
1.405360e-01 5.096343e+00
1.407861e-01 5.085483e+00
1.410361e-01 5.074671e+00
1.412862e-01 5.063908e+00
1.415362e-01 5.053193e+00
1.417863e-01 5.042526e+00
1.420364e-01 5.031906e+00
1.422864e-01 5.021334e+00
1.425365e-01 5.010808e+00
1.427866e-01 5.000329e+00
1.430366e-01 4.989896e+00
1.432867e-01 4.979509e+00
1.435367e-01 4.969167e+00
1.437868e-01 4.958871e+00
1.440369e-01 4.948621e+00
1.442869e-01 4.938415e+00
1.445370e-01 4.928254e+00
1.447871e-01 4.918137e+00
1.450371e-01 4.908064e+00
1.452872e-01 4.898034e+00
1.455372e-01 4.888049e+00
1.457873e-01 4.878106e+00
1.460374e-01 4.868207e+00
1.462874e-01 4.858350e+00
1.465375e-01 4.848535e+00
1.467875e-01 4.838763e+00
1.470376e-01 4.829033e+00
1.472877e-01 4.819344e+00
1.475377e-01 4.809697e+00
1.477878e-01 4.800091e+00
1.480379e-01 4.790526e+00
1.482879e-01 4.781002e+00
1.485380e-01 4.771518e+00
1.487880e-01 4.762074e+00
1.490381e-01 4.752670e+00
1.492882e-01 4.743306e+00
1.495382e-01 4.733982e+00
1.497883e-01 4.724697e+00
1.500384e-01 4.715450e+00
1.502884e-01 4.706243e+00
1.505385e-01 4.697074e+00
1.507885e-01 4.687943e+00
1.510386e-01 4.678851e+00
1.512887e-01 4.669796e+00
1.515387e-01 4.660779e+00
1.517888e-01 4.651799e+00
1.520389e-01 4.642857e+00
1.522889e-01 4.633952e+00
1.525390e-01 4.625083e+00
1.527890e-01 4.616251e+00
1.530391e-01 4.607455e+00
1.532892e-01 4.598696e+00
1.535392e-01 4.589972e+00
1.537893e-01 4.581284e+00
1.540394e-01 4.572632e+00
1.542894e-01 4.564015e+00
1.545395e-01 4.555433e+00
1.547895e-01 4.546886e+00
1.550396e-01 4.538374e+00
1.552897e-01 4.529896e+00
1.555397e-01 4.521452e+00
1.557898e-01 4.513043e+00
1.560399e-01 4.504667e+00
1.562899e-01 4.496326e+00
1.565400e-01 4.488017e+00
1.567900e-01 4.479742e+00
1.570401e-01 4.471501e+00
1.572902e-01 4.463292e+00
1.575402e-01 4.455116e+00
1.577903e-01 4.446972e+00
