Omega_m,cost,age_Gyr,ok,P1,P2,P3,P4,P5,P6
0.021300,3.8401377681242783,49.026759,1,350.0,447.0,650.0,1187.0,1250.0,1873.0
0.021400,3.848241873027768,48.936319,1,350.0,447.0,650.0,1185.0,1250.0,1871.0
0.021500,3.8583664096149874,48.846415,1,350.0,446.0,650.0,1184.0,1250.0,1868.0
0.021600,3.8689865732726716,48.757044,1,350.0,446.0,650.0,1182.0,1250.0,1865.0
0.021700,3.877168493709338,48.668199,1,350.0,446.0,650.0,1180.0,1250.0,1863.0
0.021800,3.8862317133336157,48.579875,1,350.0,446.0,650.0,1179.0,1250.0,1860.0
0.021900,3.898104739882062,48.492067,1,350.0,445.0,650.0,1177.0,1250.0,1857.0
0.022000,3.907518572873637,48.404769,1,350.0,444.0,650.0,1175.0,1250.0,1855.0
0.022100,3.9178256766733104,48.317978,1,350.0,443.0,650.0,1174.0,1250.0,1852.0
0.022200,3.9274922679524513,48.231686,1,350.0,444.0,650.0,1172.0,1250.0,1849.0
0.022300,3.9364972681221055,48.145891,1,350.0,442.0,650.0,1171.0,1250.0,1847.0
0.022400,3.947383800335665,48.060586,1,350.0,442.0,650.0,1169.0,1250.0,1844.0
0.022500,3.9546091554886678,47.975768,1,350.0,443.0,650.0,1167.0,1250.0,1842.0
0.022600,3.965059918734206,47.891431,1,350.0,442.0,650.0,1166.0,1250.0,1839.0
0.022700,3.974656318938236,47.80757,1,350.0,441.0,650.0,1164.0,1250.0,1837.0
0.022800,3.985166940286218,47.724181,1,350.0,440.0,650.0,1163.0,1250.0,1834.0
0.022900,3.994817212782447,47.64126,1,350.0,439.0,650.0,1161.0,1250.0,1832.0
0.023000,4.005898283828949,47.558801,1,350.0,439.0,650.0,1159.0,1250.0,1829.0
0.023100,4.013916789663717,47.476801,1,350.0,438.0,650.0,1158.0,1250.0,1827.0
0.023200,4.025060711717785,47.395256,1,350.0,438.0,650.0,1156.0,1250.0,1824.0
0.023300,4.033121118224263,47.31416,1,350.0,437.0,650.0,1155.0,1250.0,1822.0
0.023400,4.041722045378038,47.233509,1,350.0,437.0,650.0,1153.0,1250.0,1820.0
0.023500,4.05125215820138,47.153301,1,350.0,437.0,650.0,1152.0,1250.0,1817.0
0.023600,4.0610790120998175,47.073529,1,350.0,436.0,650.0,1150.0,1250.0,1815.0
0.023700,4.068036200971642,46.994191,1,350.0,436.0,650.0,1149.0,1250.0,1813.0
0.023800,4.078822169590867,46.915281,1,350.0,435.0,650.0,1148.0,1250.0,1810.0
0.023900,4.087536827139287,46.836797,1,350.0,435.0,650.0,1146.0,1250.0,1808.0
0.024000,4.094547888303311,46.758735,1,350.0,435.0,650.0,1145.0,1250.0,1806.0
0.024100,4.107142204986208,46.681089,1,350.0,434.0,650.0,1143.0,1250.0,1803.0
0.024200,4.114192173916821,46.603858,1,350.0,434.0,650.0,1142.0,1250.0,1801.0
0.024300,4.122996618618906,46.527036,1,350.0,434.0,650.0,1140.0,1250.0,1799.0
0.024400,4.132754192231534,46.45062,1,350.0,434.0,650.0,1139.0,1250.0,1796.0
0.024500,4.142235064315618,46.374607,1,350.0,432.0,650.0,1138.0,1250.0,1794.0
0.024600,4.151105352930391,46.298992,1,350.0,432.0,650.0,1136.0,1250.0,1792.0
0.024700,4.158242116109548,46.223773,1,350.0,432.0,650.0,1135.0,1250.0,1790.0
0.024800,4.168347310184351,46.148945,1,350.0,431.0,650.0,1133.0,1250.0,1788.0
0.024900,4.176712993013292,46.074506,1,350.0,430.0,650.0,1132.0,1250.0,1786.0
0.025000,4.185415235473224,46.000451,1,350.0,431.0,650.0,1131.0,1250.0,1783.0
0.025100,4.196788256964401,45.926778,1,350.0,429.0,650.0,1129.0,1250.0,1781.0
0.025200,4.204011814392102,45.853483,1,350.0,429.0,650.0,1128.0,1250.0,1779.0
0.025300,4.210051345746848,45.780562,1,350.0,430.0,650.0,1127.0,1250.0,1777.0
0.025400,4.220288227647029,45.708013,1,350.0,429.0,650.0,1125.0,1250.0,1775.0
0.025500,4.227559671556685,45.635832,1,350.0,429.0,650.0,1124.0,1250.0,1773.0
0.025600,4.237253039904446,45.564016,1,350.0,427.0,650.0,1123.0,1250.0,1771.0
